episode,Multi-Agent_GAT_DT_50_agents_reward,Multi-Agent_GAT_DT_50_agents_path_length,Multi-Agent_GAT_DT_50_agents_jammed_steps,Multi-Agent_GAT_DT_50_agents_latency,GAT_Baseline_4_features_reward,GAT_Baseline_4_features_path_length,GAT_Baseline_4_features_jammed_steps,GAT_Baseline_4_features_latency
1862,1.0757328946092772,2,0,0.4747607811916038,1.4458297168748955,4,0,0.8856526925888069
1863,-3.456150989483499,9,5,2.035825503126569,1.2063823424620475,2,0,0.4894485405956014
1864,0.01732890043315738,7,0,1.709514270761654,-11.152502354444971,34,0,8.471598629001189
1865,-1.6055102626042255,12,0,2.780959452776997,0.7202832830443696,3,1,0.6647962145551964
1866,0.46464166287448516,4,0,0.944237676014395,0.49478958046387167,3,2,0.7593573697849323
1867,0.12809738305658647,8,0,1.894163346501885,-21.63596067494201,59,0,14.01683802941363
1868,-0.7367495290866484,12,0,2.931877258811783,1.2549058124951298,2,0,0.4795689780000508
1869,1.5095512207576083,3,0,0.7594129042356076,-63.29904443685675,157,0,34.83993232735548
1870,0.6265691970349065,5,0,1.1451143106894994,1.614641611291108,4,0,0.948292609061492
1871,-0.7776764880375375,5,0,1.1239160542034132,1.5388277387505107,4,0,0.9712770617970417
1872,-0.9753940468660873,5,1,1.292219947759892,-23.775534066058686,43,20,10.639069237030823
1873,1.2729971316828037,2,0,0.481804950214468,1.4852492550985699,3,0,0.6805709592381
1874,0.25419757774915164,7,0,1.6299908591362298,0.808103319340951,4,0,0.9783913868765256
1875,1.8293063559803682,5,0,1.220066633631189,-23.223454650941633,54,0,11.015336474836074
1876,0.4017828594896835,1,1,0.22618159713147656,-0.09360949594462276,5,0,1.1946005594400395
1877,-0.1615180804536256,7,0,1.5971225322176301,0.9984128083247372,3,1,0.7387304151518959
1878,-0.08732179505529958,4,1,0.9892835168639164,0.5573757760038063,3,0,0.6945666010831971
1879,1.0116024737250586,3,1,0.7544617525538093,1.2399849274508012,2,0,0.472561339131394
1880,1.6291592343540864,4,0,0.8974345202252089,-101.76707884674641,276,0,75.60198854914884
1881,-0.553226042351763,9,0,1.8974119736244144,1.6586775661638633,3,0,0.5891785126457023
1882,1.4167034035005202,3,0,0.6961999206193167,1.5126811379672684,4,0,1.0018923674409412
1883,1.2195404446324798,2,0,0.45816138482447094,-11.298726968251326,36,0,9.284131252034161
1884,0.3244272441005397,10,0,2.214729595690511,-13.540807992157408,44,0,10.255265142901969
1885,1.500937641583422,3,0,0.752514454121125,-30.194263594108648,69,5,15.113850442824907
1886,1.503721322859008,2,0,0.41809030347677223,-16.34910477942585,47,0,11.02432480335945
1887,1.2622437589164048,2,0,0.504069638338409,0.7541891248727632,2,1,0.5141626420855269
1888,1.4661777210066327,3,0,0.7027649135502414,1.2233327180821687,2,0,0.45492618735105944
1889,1.0018957892249531,4,1,0.9743887359749365,0.7054010933883106,6,0,1.3670175806311233
1890,-1.208828843830703,10,1,2.402820054904082,1.5244363575065023,2,0,0.46419318783804575
1891,-0.03874475103376507,3,3,0.7181191169448843,0.40389688390761436,3,2,0.6324388086520445
